tifawtSku,tifawtName,tifawtStock,tifawtPrice,suggestedNocoSku
"FLAIR-10000MAH","POWER BANK FLAIR 10000mAh","18","160","ERY-FLAIR-10000MAH"
"FLAIR-5000MAH","POWER BANK FLAIR 5000mAh","19","140","ERY-FLAIR-5000MAH"
"STYLUS-PEN","UNIVERSAL STYLUS PEN","100","90","ERY-STYLUS-PEN"
"CHARGER-UNIVERSAL-TYPE-C-CODY","CHARGER UNIVERSAL TYPE-C CODY NOTEBOOK POWER ADAPTER","30","60","ERY-CHARGER-UNIVERSAL-TYPE-C-CODY"
"STARLIGHT-CAR-CHARGER-5-IN-1","STARLIGHT CAR CHARGER 5 IN 1","30","140","ERY-STARLIGHT-CAR-CHARGER-5-IN-1"
"CHARGER-UNIVERSAL-NOTEBOOK","CHARGER UNIVERSAL NOTEBOOK POWER ADAPTER","30","50","ERY-CHARGER-UNIVERSAL-NOTEBOOK"
"POWER-BANK-FLAIR-20000MAH","POWER BANK FLAIR 20000mAh","17","240","ERY-POWER-BANK-FLAIR-20000MAH"
"APPLE-20W-AN","ADAPTER APPLE 20W AN","50","25","ERY-APPLE-20W-AN"
"20W-CN","ADAPTER APPLE 20W CN ORIGINAL","261","150","ERY-20W-CN"
"ADAPTER-M9AC","ADAPTER SM M9AC SOBA","97","20","ERY-ADAPTER-M9AC"
"SAM-TA800","ADAPTER SAMSUNG TA800 SOBA","100","19","ERY-SAM-TA800"
"ADAPTER-35W-SOBA","ADAPTER APPLE 35W SOBA","100","17","ERY-ADAPTER-35W-SOBA"
"ADAPTER-60W","ADAPTER APPLE 40W/60W DYNAMIC ","50","130","ERY-ADAPTER-60W"
"C87Q-IPH","KONFULON C87Q IPH","120","32","ERY-C87Q-IPH"
"C87","KONFULON 3.0A C87","40","26","ERY-C87"
"AQ7","REMOTE AQ7","127","45","ERY-AQ7"
"AQ9","REMOTE AQ9","100","35","ERY-AQ9"
"AQ8","REMOTE AQ8","100","35","ERY-AQ8"
"AQ6","REMOTE AQ6","150","35","ERY-AQ6"
"AQ5","REMOTE AQ5","120","35","ERY-AQ5"
"AQ4","REMOTE AQ4","59","35","ERY-AQ4"
"PRD-MRW5HYLE-ARX3","REMOTE AQ1/AQ2","300","25","ERY-PRD-MRW5HYLE-ARX3"
"CPE710","TP-LINK 5GHz AC867 CPE710","4","950","ERY-CPE710"
"LS110P","TP-LINK 10-ports 10/100Mbps Desktop PoE+ Switch LS110P","10","400","ERY-LS110P"
"LS1008","TP-LINK 8-PORTS 10/100Mbps LS1008","10","80","ERY-LS1008"
"PS4-TRANSPARENT","WIRELESS CONTROLLER PS4 TRANSPARENT ","20","110","ERY-PS4-TRANSPARENT"
"MANETTE-PC","NK MANETTE PC DUALSHOCK JOYPAD","60","30","ERY-MANETTE-PC"
"TICKET-CLAVIER","TICKET CLAVIER","400","1.5","ERY-TICKET-CLAVIER"
"AX12","TP-LINK WI-FI ROUTER NEXT-GEN AX12","10","350","ERY-AX12"
"S23","SANSUNG USB CABLE S23 C-C 1.8m","200","18","ERY-S23"
"HS686","KIT VIDVIE HS686","200","17","ERY-HS686"
"M1688","ERGONOMIC MOUSE M1688","30","90","ERY-M1688"
"CABLE-9IPHONE-AN-TC-1M","CABLE IPHONE AN TC 1m","500","9","ERY-CABLE-9IPHONE-AN-TC-1M"
"HP-S1000","MOUSE HP S1000","50","40","ERY-HP-S1000"
"K552","SUPPORT K552","40","20","ERY-K552"
"XBOX-360","BATTERIE XBOX 360","20","45","ERY-XBOX-360"
"LED-PL-26","LED PROFESSIONNEL PHOTOGRAPHY FILL LIGHT LED PL-26","20","85","ERY-LED-PL-26"
"R8-B0X","VENCOR TV BOX R8 B0X","40","230","ERY-R8-B0X"
"PG9128","MOUSE & KEYBORD CONVERTER MIX PRO+","20","160","ERY-PG9128"
"HUB-TP-C-4-IN-1","ADAPTER SUPPORT 4K TYPE-C TO HUB PD 4 IN 1","30","70","ERY-HUB-TP-C-4-IN-1"
"P90","ALLUME CIGARE SMART P90","80","30","ERY-P90"
"CONVERTISSEUR-M9","ORIGINAL MOBILE GAME KEYBOARD AND MOUSE CONVERTER M9","20","170","ERY-CONVERTISSEUR-M9"
"TL-WR844N","TP-LINK MULTI-MODE WI-FI ROUTER TL-WR844N","10","150","ERY-TL-WR844N"
"C24","TP-LINK DUAL BAND WI-FI ROUTER AC750 C24","20","220","ERY-C24"
"TL-WR840N","TP-LINK WIRELESS N ROUTER 4 IN 1 TL-WR840N","20","160","ERY-TL-WR840N"
"TP-LINK-A64","TP-LINK WI-FI ROUTER AC1200 A64","10","320","ERY-TP-LINK-A64"
"TP-LINK-C50"," TP-LINK WI-FI ROUTER AC1200 C50","10","280","ERY-TP-LINK-C50"
"QX260","RING FILL LIGHT  QX260","30","50","ERY-QX260"
"C13","ALLUME CIGARE 150W C13","100","70","ERY-C13"
"DINEX-AN-118","WRITING PAD CALCULATOR DINEX AN-118","20","80","ERY-DINEX-AN-118"
"M220","MOUSSE SILENT M220","40","40","ERY-M220"
"XYH52","MOUSE XUNFOX XYH52","100","90","ERY-XYH52"
"MJ33","RGB LED MJ33","30","70","ERY-MJ33"
"PRD-MRF5ZTBM-BLEF","TAPI BEST1 3ADIYA","50","6","ERY-PRD-MRF5ZTBM-BLEF"
"XC-X3","TAPI XC-X3","36","8","ERY-XC-X3"
"SUPPORT-MICROPHONE-HANDHELD","WIRELESS MICROPHONE HANDHELD STICK","32","60","ERY-SUPPORT-MICROPHONE-HANDHELD"
"MICROPHONE-CAND","SUPPORT MICROPHONE CAND","56","100","ERY-MICROPHONE-CAND"
"ALLUME-CIGARE","ALLUME CIGARE AFFICHEUR V/W","60","110","ERY-ALLUME-CIGARE"
"MULTIFONCTION","USB-C TO USB SD MICRO SDCARDREADER","100","40","ERY-MULTIFONCTION"
"RJ45-TO-TYPE-C","RJ45 TO TYPE-C ","150","30","ERY-RJ45-TO-TYPE-C"
"TC-RJ45-TO-USB"," RJ45 TO USB ETHERNET","50","30","ERY-TC-RJ45-TO-USB"
"VEHICLE-1080","VEHICLE BLACK BOXE DVR 1080HD","49","230","ERY-VEHICLE-1080"
"HD-1296P","BLACK BOXE HD 1296P","50","220","ERY-HD-1296P"
"CHARGEUR-IPHONE14","Chargeur iphone 14 pro max 25w","194","40","ERY-CHARGEUR-IPHONE14"
"HUB-TC-3-4PORT","HUB TC 3.0 4PORT","50","25","ERY-HUB-TC-3-4PORT"
"KA-01","KG 01","4","250","ERY-KA-01"
"K12","Kit casque K12","20","170","ERY-K12"
"PRD-MR5ANEVT-HHB1","TAPIS CHAUFFANT 60*36cm","49","80","ERY-PRD-MR5ANEVT-HHB1"
"PRD-MR5AMTDK-41CJ","TAPIS CHAUFFANT 80*33cm","24","85","ERY-PRD-MR5AMTDK-41CJ"
"100-50CM","TAPIS SKY 100*50CM","34","50","ERY-100-50CM"
"90-40CM","TAPIS SKY 90*40cm","30","45","ERY-90-40CM"
"80-30CM","TAPIS SKY 80*30cm","40","40","ERY-80-30CM"
"30-60CM","TAPIS SKY 30*60cm","46","35","ERY-30-60CM"
"K06A","KIT CASQUE K06A","20","130","ERY-K06A"
"PRD-MR2C7CQX-U2P1","NOKIA 1616","37","150","ERY-PRD-MR2C7CQX-U2P1"
"TABLE","TABLE PC GAMER","1","700","ERY-TABLE"
"M252D","SUPPORT 2 ecran","30","400","ERY-M252D"
"CAMERA-SOLAR-DS2","Caméra solar DS2","8","750","ERY-CAMERA-SOLAR-DS2"
"KSNAKE-X10","K-snake mouse x10","14","150","ERY-KSNAKE-X10"
"SELFIE-F210","SELFIE STLCK F210","30","30","ERY-SELFIE-F210"
"C-BLE-WATCH-W26","Câble Watch w26","147","17","ERY-C-BLE-WATCH-W26"
"ADAPTER-FLAIR-A12","ADAPTER FLAIR  120w A12","110","35","ERY-ADAPTER-FLAIR-A12"
"BM800-V8","PROFESSIONAL CONDENSER MICROPHONE","15","200","ERY-BM800-V8"
"STARRY-SKY-ALLUME-CIGARE-CC-037","ALLUME CIGARE Chargeur voiture 4 IN1 Starry Sky CC-037","15","80","ERY-STARRY-SKY-ALLUME-CIGARE-CC-037"
"SUNPIN-ANC-PRO-5","AIRPODS SUNPIN ANC-PRO 5+","10","180","ERY-SUNPIN-ANC-PRO-5"
"DUNSPIN-DS66","EARBUDS DUNSPIN DS66","10","140","ERY-DUNSPIN-DS66"
"AB01-TYPE-C","manette mobile game controller AB01 TYPE-C","22","300","ERY-AB01-TYPE-C"
"PM-26","PM-26","19","110","ERY-PM-26"
"CT-637-2-AUX","CANLEEN CASQUE CT-637 AUX","36","85","ERY-CT-637-2-AUX"
"CT-637-USB","CANLEEN CASQUE CT-637 USB","36","85","ERY-CT-637-USB"
"GIONE-S8","EARPHONE GIONE S8","170","11","ERY-GIONE-S8"
"SAMSUNG-45W-AAA","SAMSUNG ADABTER 45W-AAA","200","45","ERY-SAMSUNG-45W-AAA"
"UAM-UH-03P","CHARGER 45W UAM UH-03P","195","28","ERY-UAM-UH-03P"
"45W-AAA","45W-AAA","200","40","ERY-45W-AAA"
"25W-AAA","25W-AAA","180","35","ERY-25W-AAA"
"5M","LED NEON ROPE LIGHT 5M","39","150","ERY-5M"
"10M","LED NEON ROPE LIGHT 10M","6","250","ERY-10M"
"3M","LED NEON ROPE LIGHT 3M","30","120","ERY-3M"
"2M","LED NEON ROPE LIGHT 2M","30","90","ERY-2M"
"SQ002WL","WIFI PANORAMA CAMERA AMPLE X-IOT CAM 2 lens SQ002WL","50","150","ERY-SQ002WL"
"L29","HD CAMERA CARRE L29-WIFI","28","180","ERY-L29"
"X36B5","SPEAKER KISONLI X36BT","50","85","ERY-X36B5"
"X30","SPEAKER KISONLI X30","30","85","ERY-X30"
"X9","SPEAKER KISONLI X9","29","95","ERY-X9"
"X10","SPEAKER KISONLI X10","18","110","ERY-X10"
"H264","SPORTS CAMERA 4K WIFI H265","40","530","ERY-H264"
"D3","CAMERA KISONLI D3","32","140","ERY-D3"
"PRD-MQTRD6WI-BQNI","WEB CAM KISONLI D1 8MG 4K","50","220","ERY-PRD-MQTRD6WI-BQNI"
"D1","WEB CAM KISONLI D1 4MG 2K","50","160","ERY-D1"
"KITFLAIR","KIT FLAIR ORIGINAL MOTOROLA","999","9","ERY-KITFLAIR"
"PRD-MQTQFZQH-3729","Pince réseau Tools à sertir multifonction","10","70","ERY-PRD-MQTQFZQH-3729"
"PRD-MQTPZFCL-DRSS","RECHARGEABLE AND WATERPROOF CHIEN","50","250","ERY-PRD-MQTPZFCL-DRSS"
"F15","TRIPOD F15","45","60","ERY-F15"
"R1L","TRIPOD R1L","60","60","ERY-R1L"
"TT02","TRIPOD TT02","30","130","ERY-TT02"
"TT01","TRIPOD TT01","30","150","ERY-TT01"
"TT03","TRIPOD TT03","29","150","ERY-TT03"
"L02","TRIPOD L02","100","70","ERY-L02"
"PRD-MQTOUI0N-9WKX","SUPPORT MOTO 19-05/1905","100","35","ERY-PRD-MQTOUI0N-9WKX"
"PRD-MQTOQYH9-9LJS","SMART NET Camera ample V380 Q165-1/1 lens","50","110","ERY-PRD-MQTOQYH9-9LJS"
"CAMERASOLAIRE","CAMERA AI SOLAIRE AOV 4 LENS","4","800","ERY-CAMERASOLAIRE"
